Ulasan,stemming,Learnability,Efficiency,Errors,Satisfaction
Gabisa di dowloand,"['enggak bisa', 'dowloand']",0,0,-1,0
tidak bisa di sign in parah banget aplikasi ini,"['sign', 'parah', 'banget', 'aplikasi']",0,0,-1,0
Dih tollol sign up susah kali,"['dih', 'tollol', 'sign', 'up', 'sulit']",0,0,-1,0
Mau log in INVALID trs. Tolong diperbaikiiiiiiiiiiiii,"['log', 'invalid', 'tolong', 'diperbaikii']",0,0,-1,0
"Order aja loading nya g karu2 an, app luar kalau udh masuk indo ya gini","['order', 'loading', 'karu', 'app', 'indonesia']",0,0,-1,0
malah nggak bisa login. saldo hilang,"['login', 'saldo', 'hilang']",0,0,-1,0
Ga bisa sign up padahal data uda di isi semua,"['sign', 'up', 'data', 'isi']",0,0,-1,0
Oooop,['ooop'],0,0,0,0
kemarin beli tumbler..eh apps nya ga bsa dipake :(,"['kemarin', 'beli', 'tumblereh', 'apps', 'pakai']",-1,0,0,0
gabisa ambil rewards padahal starnya udah cukup,"['enggak bisa', 'ambil', 'rewards', 'starnya']",0,0,-1,0
"Semakin gak jelas... update ni aplikasi aja harus login accout google segala. Terlalu ribetttt. Tolong diperbaiki. aplikasi dibuat itu untuk memprmudah. Bukan untuk mempersulit pengguna aplikasi. Oke, bisa dipahami untik menjaga data custemer, tapi bukan dengan cara seperti ini.. terlalu bertele-tele","['aplikasi', 'login', 'accout', 'google', 'ribett', 'tolong', 'baik', 'aplikasi', 'memprmudah', 'sulit', 'guna', 'aplikasi', 'paham', 'untik', 'jaga', 'data', 'custemer', 'berteletele']",-1,-1,0,0
"Starbucks cabang di Palangka Raya, Kalimantan Tengah, gk ada di appnya, gimana coba?","['starbucks', 'cabang', 'palangka', 'raya', 'kalimantan', 'appnya', 'coba']",0,0,-1,0
Biasa login pake no hp sekarang minta email.kaga jelas amat sih....,"['login', 'pakai', 'handphone', 'emailkaga']",0,-1,0,0
Mungkin sebaiknya ada bahasa Indonesianya,"['bahasa', 'indonesia']",0,0,1,0
"Sudah aktifkan lokasi, tapi tetap store yg terdekat di daerah Jakarta. Percuma di aktifkan lokasi.","['aktif', 'lokasi', 'store', 'dekat', 'daerah', 'jakarta', 'aktif', 'lokasi']",0,0,-1,0
mau register aja eror mulu nyesel downloas aplikasi ini 🤡,"['register', 'eror', 'mulu', 'sesal', 'downloas', 'aplikasi']",0,0,-1,0
"Br install, sampe ganti email & nmr HP tp tetep ngga bisa sign in.. Tunggu beberapa hari tetep invalid mulu. Dahlah uninstall aja","['install', 'ganti', 'email', 'nomor', 'handphone', 'sign', 'tunggu', 'invalid', 'mulu', 'dah', 'uninstall']",0,0,-1,0
"Ga niat bikin aplikasi, lemot..","['niat', 'aplikasi', 'lot']",-1,-1,0,0
"tolong banget ini diperbaiki sistemnya yang lagi buat akun baru, saya sudah benar masukkin kode OTP nya dan pas sign up malah invalid","['tolong', 'banget', 'baik', 'sistem', 'akun', 'masukkin', 'kode', 'otp', 'pas', 'sign', 'up', 'invalid']",0,0,-1,0
Setelah up date semakin ribet,"['up', 'date', 'ribet']",0,-1,0,0
Jelek bgt aplikasinya...milih area kota sndri buat order munculny jakarta mulu..,"['jelek', 'banget', 'aplikasinyamilih', 'area', 'kota', 'order', 'munculny', 'jakarta', 'mulu']",0,0,-1,0
