userName,content,at
Dapoer 25,"Ka, saya udah email. Tolong bantu saya, saya mau login tp lupa alamat email. Bisa tolong bantu mnggunakan nomor telpon? Saya ingat pin di Starbucks ecard nya. Thx.",2023-05-23 22:03:58
Elyzzabeth mayorga ambarita,Kok mau upgrade ke premium susah bgt ya..udh dicoba beberapa kali failed mulu,2023-05-22 15:01:15
A. Walitakhri,"Kok pilih store di kota Makassar, blm bisa? Perlu update uplikasinya",2023-05-21 19:47:57
aconk lodskey,Good,2023-05-11 09:12:50
Indri Kumala,Reward sy hilang padahal belum tanggal expirednya,2023-05-10 10:49:29
Badru Salam,"Over all, its ok. Masukan refferal code saya BADRUS-3DA10D pada saat creat account starbucks.",2023-05-08 09:05:28
Rendi Sugara,"Lokasi saya di batam. Malah outlet di jakarta yg di kasih. Mau order jdi bingung pickup nya dmna. Di click outlet di batam tidak ketemu, sangat membingungkan",2023-05-05 06:44:36
Andres Yudha Dwiputra,tidak bisa login,2023-05-02 16:17:27
Eric Limanda,不将计就计划算的话,2023-05-01 01:31:45
sanny bka,Semoga ke depannya bisa transfer saldo ke sesama pengguna. Amin,2023-04-30 19:02:42
Hendi Winarko,gak bisa di pakai di malang kota..padahal outletnya ada.,2023-04-29 11:28:24
M.Tsaqib Alghifari,"Masih banyak yang kurang sih, Terutama di bagian topup ya, Tambahin lagi metode payment, Kayak dana Dll jangan bank doang.",2023-04-26 21:50:43
sweet november,"sedikit saran ; 1. untuk versi bahasa indonesia koq msh campur aduk bhs inggris ?? jadinya agak berantakan waktu dibaca krn terlalu banyak penggunaannya (kalo satu/ dua kata sih msh bisa ditolelir ya.. ) 2. untuk reward ada beberapa yg tiba2 hilang, padahal blm expired di tanggal/jam tersebut.",2023-04-22 09:41:49
ndi ekhy,"Buat akun pengguna baru tp error giliran di sign up mlh g bs, hrs ganti nomor bru n email baru, ribet bgt deh.. saking keselx g bs login aplikasinya ku unistal",2023-04-15 06:40:49
Tanto 2023,Hendry Hartanto,2023-04-14 19:32:58
Annisaindahpratiwi Indah,Bagus,2023-04-13 04:00:04
Ari Alshidiq Lee,Good,2023-04-10 20:44:05
Safri Wandi,"Aplikasinya bagus, namun fiturnya masih sangat kurang. Contohnya fitur penarikan Saldo, Apabila sudah top up maka tidak bisa ditarik lembali saldo tersebut",2023-04-08 15:52:15
ALGORYTHEM Al Shidiq,Info loker full stack development,2023-04-07 23:24:57
Ericson Chandra,"Curang, kenapa tidak ada pilihan tarik saldo atau kirim saldo.",2023-04-07 14:57:13
nadia pluca,Gak bisa di download sering download juga,2023-04-05 12:07:43
harum Anggraini,"1. Aplikasi yg terbaru ribet, redeem ga bisa2. Sblmnya otomatis masuk dan lucunya kasir ga bisa bantu. 2. Udah complain ksana kemari ga ada respon. Malu2in lo starbuck.👎",2023-04-05 07:24:34
Airlangga kusumawardani,Gak bisa reedem stars,2023-04-04 20:07:35
Najla Desniwa,Gabisa di dowloand,2023-03-21 14:25:02
Tati Paputungan,tidak bisa di sign in parah banget aplikasi ini,2023-03-21 13:51:35
selabintana haha,Dih tollol sign up susah kali,2023-03-21 10:44:34
Lana fauziiia,Mau log in INVALID trs. Tolong diperbaikiiiiiiiiiiiii,2023-03-19 19:03:46
Data Unlimited,"Order aja loading nya g karu2 an, app luar kalau udh masuk indo ya gini",2023-03-17 08:50:38
Kris Kris,malah nggak bisa login. saldo hilang,2023-03-16 12:44:19
Imam Baharizqi,Ga bisa sign up padahal data uda di isi semua,2023-03-15 13:39:56
Hilda Nurwahid,Oooop,2023-03-14 08:38:11
Carla Julieska,kemarin beli tumbler..eh apps nya ga bsa dipake :(,2023-03-14 05:43:21
Emalia Sagita,gabisa ambil rewards padahal starnya udah cukup,2023-03-12 14:43:28
jeremias bintang,"Semakin gak jelas... update ni aplikasi aja harus login accout google segala. Terlalu ribetttt. Tolong diperbaiki. aplikasi dibuat itu untuk memprmudah. Bukan untuk mempersulit pengguna aplikasi. Oke, bisa dipahami untik menjaga data custemer, tapi bukan dengan cara seperti ini.. terlalu bertele-tele",2023-03-12 12:43:13
Joshua Rizky Setiawan,"Starbucks cabang di Palangka Raya, Kalimantan Tengah, gk ada di appnya, gimana coba?",2023-03-12 12:06:19
Riza Afrilia,Biasa login pake no hp sekarang minta email.kaga jelas amat sih....,2023-03-12 08:57:38
Yermia Riki,Mungkin sebaiknya ada bahasa Indonesianya,2023-03-10 14:29:10
Habel Barus,"Sudah aktifkan lokasi, tapi tetap store yg terdekat di daerah Jakarta. Percuma di aktifkan lokasi.",2023-03-10 13:38:55
anonymous 666,mau register aja eror mulu nyesel downloas aplikasi ini 🤡,2023-03-09 13:58:55
Novi Yanti,"Br install, sampe ganti email & nmr HP tp tetep ngga bisa sign in.. Tunggu beberapa hari tetep invalid mulu. Dahlah uninstall aja",2023-03-08 11:23:13
Shifa Fauziyah,"Ga niat bikin aplikasi, lemot..",2023-03-08 07:07:30
Julian Eka Kurnia,"tolong banget ini diperbaiki sistemnya yang lagi buat akun baru, saya sudah benar masukkin kode OTP nya dan pas sign up malah invalid",2023-03-06 20:56:36
Roby Kombong,Setelah up date semakin ribet,2023-03-05 11:49:20
SumMer RoSe,Jelek bgt aplikasinya...milih area kota sndri buat order munculny jakarta mulu..,2023-03-04 19:57:17
Selsabilla Aulia Wardhani,Pakai kode referral saat daftar (sign up) SELSABILLAA-676825 -reward diskon 25k min pembelian 50K -reward minuman tall 10k setelah top up (Reward berlaku selama 7 hari),2023-03-04 15:36:14
Pratiwi Octaviani,Aplikasi gak guna. Mau registered aja susah banget,2023-03-03 15:30:12
hendra wan,"Tidak bisa login, kode OTP selalu salah.",2023-03-03 11:18:19
